norm,run,cooperation,fairness,strategies
0,33,0.0368182,0.5183074928555425,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 14, 12, 12, 12, 12, 12, 12, 12, 12]"
0,34,0.0145622,0.39268408003228966,"[0, 0, 8, 8, 0, 0, 8, 0, 0, 8, 8, 0, 0, 0, 8, 0, 0, 8, 8, 0, 0, 0, 0, 8, 0, 0, 8, 0, 8, 8, 9, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8, 8, 0]"
0,35,0.0448544,0.20396530811392508,"[10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,36,0.0271118,0.14181493042533821,"[12, 8, 8, 8, 13, 8, 8, 8, 13, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 12, 12, 12, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
0,37,0.0542432,0.6924085238897036,"[0, 8, 0, 8, 12, 0, 8, 8, 8, 0, 10, 8, 12, 13, 13, 8, 0, 0, 0, 0, 0, 10, 0, 1, 0, 8, 8, 0, 0, 0, 0, 0, 0, 8, 8, 8, 0, 0, 0, 8, 8, 0, 12, 0, 0, 12, 0, 8, 0, 0]"
0,38,0.1098046,0.7610032089144317,"[14, 0, 0, 0, 0, 0, 0, 0, 13, 0, 13, 13, 0, 0, 0, 14, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 13, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 14, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,39,0.074973,0.541502019756058,"[12, 12, 12, 9, 12, 12, 12, 12, 12, 12, 12, 12, 12, 14, 0, 12, 12, 12, 12, 12, 12, 12, 0, 12, 12, 12, 12, 9, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 14, 12, 12, 12, 12, 12, 12, 9, 12, 12]"
0,40,0.0857062,0.1306633256058588,"[8, 8, 8, 8, 8, 8, 8, 0, 8, 4, 8, 8, 8, 8, 8, 6, 8, 4, 6, 8, 8, 8, 8, 8, 8, 4, 4, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 8, 8, 2, 8, 8, 8, 8, 8, 8, 8]"
0,41,0.0419272,0.3714497050500586,"[7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 1, 8, 8, 8, 8, 0, 8, 8, 8, 8, 8, 8]"
0,42,0.023141,0.06521954105551339,"[4, 4, 4, 4, 5, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 4, 4, 5, 4, 0, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4]"
